STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIR,CITY,PROVINCE,FirstName,LastName,DateTime,Amount,Type,VolonteerID
195,Mccraney,St.,W,OAKVILLE,ON,Jayson,Smith,11-07-2019 11:00 AM,40,Check,141
123,FakeStreet,Blvd.,W,OAKVILLE,ON,Fake,Guy,11-07-2019 11:23 AM,1,Cash,141
150,Mccraney,St.,W,OAKVILLE,ON,Alex,Alex,11-07-2019 11:43 AM,5,Cash,146
999,Eglinton,lane.,E,OAKVILLE,ON,Desmond,Smith,11-07-2019 03:45 PM,45,Check,143
2288,Chancery,Lane.,W,OAKVILLE,ON,Rob,Todd,12-07-2019 09:10 AM,10,Cash,145
1208,Lakeshore,Rd.,E,OAKVILLE,ON,Gurdeep,Gill,12-07-2019 09:45 AM,22,Cash,143
654,Lakeway,Blvd.,W,OAKVILLE,ON,Micheal,Reddy,12-07-2019 10:32 AM,2,Cash,142
333,Dundas,St.,W,OAKVILLE,ON,Russel,Blate,12-07-2019 04:00 PM,100,Check,241
5,Dundas,St.,E,OAKVILLE,ON,David,Lee,13-07-2019 08:40 AM,25,Cash,145
11,Mccraney,St.,W,OAKVILLE,ON,Alex,Parker,13-07-2019 07:00 AM,100,Check,246
21,Ennisclare,Dr.,E,OAKVILLE,ON,Ty,Smith,13-07-2019 12:00 PM,25,Cash,148
2260,Chancery,Lane.,W,OAKVILLE,ON,Will,Andrews,13-07-2019 01:00 PM,40,Cash,141
2280,Chancery,Lane.,W,OAKVILLE,ON,Jack,Ollan,13-07-2019 12:00 PM,60,Cash,247
114,Burnhamthorpe,Rd.,E,OAKVILLE,ON,Jack,Tompson,13-07-2019 03:00 PM,10,Cash,244
112,Burnhamthorpe,Rd.,E,OAKVILLE,ON,Oliver,Lefebre,14-07-2019 12:00 PM,5,Check,249
3329,Settlers,Rd.,W,OAKVILLE,ON,Brain,Cooks,14-07-2019 09:00 AM,10,Cash,241
4789,Dundas,St.,W,OAKVILLE,ON,Jeremy,Nicholson,14-07-2019 08:00 AM,20,Check,246
570,Settlers,Rd.,W,OAKVILLE,ON,Myrtle,Ebert,14-07-2019 09:00 AM,100,Check,244
2824,Dundas,St.,W,OAKVILLE,ON,Betty,Richards,15-07-2019 09:00 AM,25,Cash,242
2288,Chancery,Lane.,W,OAKVILLE,ON,Harold,Denson,15-07-2019 03:00 PM,25,Cash,244
