Address,DonorName,Date,Time,Amount,Type,VolonteerID
232 King St. East Toronto ON,Sally Field,Jul 10 2019,10:00 AM,20,Check,241
333 Flats Height N. Ontario,Sergio Aguerro,Jul 10 2019,11:00 AM,10,Cach,241
195 Mccraney St. W. Oakville ON,Jayson Smith,Jul 11 2019,11:00 AM,40,Check,141
384 River Oaks Blvd. W. Oakville ON,Jag Nanda,Jul 11 2019,11:00 AM,9999,Cash,142
123 FakeStreet Blvd. W. Oakville ON,Fake Guy,Jul 11 2019,11:23 AM,1,Cash,141
150 Mccraney St. West Oakville ON,Alex Alex,Jul 11 2019,11:43 AM,5,Cash,146
2092 Upper Middle Rd. E. Oakville On,Bob Barker,Jul 11 2019,1:30 PM,6,Cash,145
5365 Swiftcurrent Rd. Mississauga ON,Asdf Qwer,Jul 11 2019,3:30 PM,29,Cash,141
999 Eglinton lane. E. Oakville ON,Desmond Smith,Jul 11 2019,3:45 PM,45,Check,143
2288 Chancery Lane. W. Oakville ON,Rob Todd,Jul 12 2019,9:10 AM,10,Cash,145
2084 Upper Middle Rd. E. Oakville Ontario,Anne Green,Jul 12 2019,9:12 AM,54,Cash,148
1208 Lakeshore Rd. E. Oakville On,Gurdeep Gill,Jul 12 2019,9:45 AM,22,Cash,143
654 Lakeway Blvd. W. Oakville ON,Micheal Reddy,Jul 12 2019,10:32 AM,2,Cash,142
1335 North Service Rd. E. Oakville On,Tomm Leonard,Jul 12 2019,10:33 AM,8,Cash,144
406 River Grey Blvd. N. Oakville On,Alexis Lee,Jul 12 2019,10:55 AM,20,Cash,149
333 Dundas St. W. Oakville ON,Russel Blate,Jul 12 2019,4:00 PM,100,Check,241
4123 Dundas St. E. Mississauga ON,Janet Tompson,Jul 13 2019,12:30 PM,75,Cash,241
5 Dundas St. E. Oakville ON,David Lee,Jul 13 2019,8:40 AM,25,Cash,145
12 Lakeshore Rd. W. Mississauga ON,Tristan Sutherland,Jul 13 2019,11:20 AM,10,Cash,143
45 Upper Middle Rd. W. Oakville ON,Samual Davis,Jul 13 2019,11:00 AM,80,Cash,242
332 Upper Middle Rd. W. Oakville On,Ally Brook,Jul 13 2019,11:00 AM,15,Cash,242
5678 Upper Middle Rd. W. Mississauga ON,Fred Rook,Jul 13 2019,12:00 PM,55,Check,243
2314 Lakeshore Rd. W. Mississauga on,Kyle Ellis,Jul 13 2019,12:00 PM,100,Cash,244
11 Mccraney St. W. Oakville ON,Alex Parker,Jul 13 2019,7:00 AM,100,Check,246
52 River Oaks Blvd. Milton On,Tyler Pearson,Jul 13 2019,8:00 AM,50,Check,241
21 Ennisclare Dr. E. Oakville ON,Ty Smith,Jul 13 2019,12:00 PM,25,Cash,148
2260 Chancery Lane. W. Oakville On,Will Andrews,Jul 13 2019,1:00 PM,40,Cash,141
2280 Chancery Lane. W. Oakville On,Jack Ollan,Jul 13 2019,12:00 PM,60,Cash,247
456 Dundas St. W. Mississauga ON,Ester Davis,Jul 13 2019,12:00 PM,25,Cash,245
15 Upper Middle Rd. E. Mississagua ON,Robert Lee,Jul 13 2019,3:00 PM,30,Check,244
114 Burnhamthorpe Rd. E. Oakville On,Jack Tompson,Jul 13 2019,3:00 PM,10,Cash,244
112 Burnhamthorpe Rd. E. Oakville On,Oliver Lefebre,Jul 14 2019,12:00 PM,5,Check,249
1293 Dundas St. W. Mississauga ON,Angela Conner,Jul 14 2019,3:00 PM,6,Check,248
3783 Upper Middle Rd. W. Oakville ON,Todd Portillo,Jul 14 2019,8:00 AM,29,Cash,247
1754 Upper Middle Rd. W. Oakville ON,Diane Motsinger,Jul 14 2019,12:00 PM,45,Cash,246
3329 Settlers Rd. W. Oakville ON,Brain Cooks,Jul 14 2019,9:00 AM,10,Cash,241
188 River Oaks Blvd. E. Oakville ON,James Durso,Jul 14 2019,12:00 PM,54,Cash,147
2119 William Halton Pky. W. ON,Matthew Fisher,Jul 14 2019,12:00 PM,22,Check,149
145 River Oaks BLVD. Oakville On,Donald Parnell,Jul 14 2019,12:00 PM,2,Cash,145
1220 South Service Rd. E. Oakville ON,John Riley,Jul 14 2019,3:00 PM,8,Cash,245
4789 Dundas St. W. Oakville ON,Jeremy Nicholson,Jul 14 2019,8:00 AM,20,Check,246
570 Settlers Rd. W. OakVille ON,Myrtle Ebert,Jul 14 2019,9:00 AM,100,Check,244
2784 High Meadow Lane E. Oakville On,Danielle Macdonald,Jul 15 2019,8:00 AM,50,Check,241
2824 Dundas St. W. Oakville On,Betty Richards,Jul 15 2019,9:00 AM,25,Cash,242
934 Cook Hill Rd. Oakville ON,Olga Lindsay,Jul 15 2019,8:00 AM,40,Cash,243
41 Red Dog Rd. Oakville ON,Donald Potter,Jul 15 2019,8:00 AM,60,Cash,247
2288 Chancery Lane. W. Oakville On,Harold Denson,Jul 15 2019,3:00 PM,25,Cash,244
