STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIR,CITY,PROVINCE,FirstName,LastName,DateTime,Amount,Type,VolonteerID
384,River Oaks,Blvd.,W,OAKVILLE,ON,Jag,Nanda,11-07-2019 11:00 AM,9999,Cash,142
2092,Upper Middle,Rd.,E,OAKVILLE,ON,Bob,Barker,11-07-2019 01:30 PM,6,Cash,145
2084,Upper Middle,Rd.,E,OAKVILLE,ON,Anne,Green,12-07-2019 09:12 AM,54,Cash,148
1335,North Service,Rd.,E,OAKVILLE,ON,Tomm,Leonard,12-07-2019 10:33 AM,8,Cash,144
406,River Grey,Blvd.,N,OAKVILLE,ON,Alexis,Lee,12-07-2019 10:55 AM,20,Cash,149
45,Upper Middle,Rd.,W,OAKVILLE,ON,Samual,Davis,13-07-2019 11:00 AM,80,Cash,242
332,Upper Middle,Rd.,W,OAKVILLE,ON,Ally,Brook,13-07-2019 11:00 AM,15,Cash,242
3783,Upper Middle,Rd.,W,OAKVILLE,ON,Todd,Portillo,14-07-2019 08:00 AM,29,Cash,247
1754,Upper Middle,Rd.,W,OAKVILLE,ON,Diane,Motsinger,14-07-2019 12:00 PM,45,Cash,246
188,River Oaks,Blvd.,E,OAKVILLE,ON,James,Durso,14-07-2019 12:00 PM,54,Cash,147
1220,South Service,Rd.,E,OAKVILLE,ON,John,Riley,14-07-2019 03:00 PM,8,Cash,245
